lat,lng,comment
35.38708669398074, 139.42622236986037,燃やすしかないゴミ／空き缶／ペットボトル／プラスチックゴミ／あきびん
35.38726273999497, 139.4262597227129, プラスチック類／あきかん／ペットボトル
35.38698701712884, 139.4262365744798, 紙類／紙・プラスチック類／ペットボトル／ビン・カン
35.387050412304234, 139.42637672433108, ゴミ入れ
35.38729305597129, 139.42632320062808, ペットボトル／ゴミ箱（割り箸・弁当のフタ・その他ゴミ）
35.38721175896146, 139.42628979104262, 燃やすしかないごみ／プラスチック／空のペットボトル
35.387377362185724, 139.42632073085477, 燃やすしかないごみ／プラスチック／空のペットボトル ビン・カン
35.388346705623576, 139.42664319994236, 燃やすしかないごみ／プラスチック
35.388083565546935, 139.42623224125586, プラスチック／燃やすしかないごみ／ペットボトル
35.38799018257575, 139.42655018386324, プラスチック／燃やすしかないごみ／ペットボトル
35.38837513218851, 139.4263159704531, プラスチック／燃やすしかないごみ／ペットボトル
35.3886527158824, 139.42673735367728, プラスチック／燃やすしかないごみ／ペットボトル
35.38773420171221, 139.42611558077445, プラスチック／燃やすしかないごみ／ペットボトル
35.38767452763199, 139.42650475737454, プラスチック／燃やすしかないごみ／ペットボトル
35.38801940834347, 139.4277257264721, プラスチック／燃やすしかないごみ／ペットボトル／カン・ビン
35.38770128269851, 139.42535080787368, 廃棄場
35.38835094849464, 139.42665517986305, プラスチック／燃やすしかないごみ／ペットボトル
35.38830738474842, 139.4273218854695, 燃やすしかないごみ／プラスチック／空のペットボトル／ビン・カン
35.38843907455337, 139.4272076162258, 燃えるゴミ
35.38876014861884, 139.42635798646717, プラスチック／燃やすしかないごみ／ペットボトル
